Security Id,Security Name,Industry
STARPAPER,STAR PAPER MILLS LTD.,Paper & Paper Products
YASHPAKKA,Yash Pakka Ltd-$,Paper & Paper Products
SARDAPPR,SARDA PAPERS LTD.,Paper & Paper Products
NATPLY,NATIONAL PLYWOOD INDUSTRIES LTD.,Forest Products
ARROWGREEN,Arrow Greentech Ltd,Plastic Products
VISHNU,VISHNU CHEMICALS LTD.,Specialty Chemicals
JUMBO,JUMBO BAG LTD.,Containers & Packaging
NRAGRINDQ,N.R.AGARWAL INDUSTRIES LTD.,Paper & Paper Products
3PLAND,3P Land Holdings Ltd,Investment Companies
SANPA,SANGAL PAPERS LTD.,Paper & Paper Products
SHKARTP,SHREE KARTHIK PAPERS LTD.,Paper & Paper Products
STHINPA,SOUTH INDIA PAPER MILLS LTD.,Paper & Paper Products
SCANDENT,Scandent Imaging Limited,Healthcare Services
VINDHYATEL,VINDHYA TELELINKS LTD.,Telecom Cables
RIR,RUTTONSHA INTERNATIONAL RECTIFIER LTD.,Electronic Components
ADORWELD,ADOR WELDING LTD.,Other Industrial Goods
IDM,INTERNATIONAL DATA MANAGEMENT LTD.,Consulting Services
SALZER,SALZER ELECTRONICS LTD.-$,Other Elect.Equip./ Prod.
JETKINGQ,JETKING INFOTRAIN LTD.,IT Training Services
INDAGIV,IND-AGIV COMMERCE LTD.,Comm.Trading  & Distribution
APLAB,APLAB LTD.-$,Other Elect.Equip./ Prod.
PCS,PCS TECHNOLOGY LTD.,Computer Hardware
USHAMART,USHA MARTIN LTD.,Iron & Steel Products
SPELS,SPEL SEMICONDUCTOR LTD.,Electronic Components
SUBROS,SUBROS LTD.,Auto Parts & Equipment
PERVASIVE,Pervasive Commodities Ltd,Electronic Components
HONAUT,HONEYWELL AUTOMATION INDIA LTD.,Other Elect.Equip./ Prod.
SWITCHTE,SWITCHING TECHNOLOGIES GUNTHER LTD.,Electronic Components
LUMAXIND,LUMAX INDUSTRIES LTD.,Auto Parts & Equipment
DIGISPICE,Digispice Technologies Ltd-$,Telecom Equipment
PAEL,PAE LTD.,Comm.Trading  & Distribution
CALCOM,CALCOM VISION LTD.,Consumer Electronics
DYNAVSN,DYNAVISION LTD.,Electronic Components
BCCFUBA,BCC FUBA INDIA LTD.,Electronic Components
PRECISIO,PRECISION ELECTRONICS LTD.,Electronic Components
FINELINE,FINE-LINE CIRCUITS LTD.,Electronic Components
HBLPOWER,HBL POWER SYSTEMS LTD.-$,Other Elect.Equip./ Prod.
S&SPOWER,S&S POWER SWITCHGEAR LTD.,Other Elect.Equip./ Prod.
GUJARATPOLY,Gujarat Poly Electronics Ltd,Other Elect.Equip./ Prod.
GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,Electric Utilities
CMI,CMI LTD.,Other Elect.Equip./ Prod.
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,Auto Parts & Equipment
MINDTECK,MINDTECK (INDIA) LTD.,IT Software Products
HAVELLS,HAVELLS INDIA LTD.,Consumer Electronics
ACIIN,ACI INFOCOM LTD.,Storage Media & Peripherals
SBECSYS,SBEC SYSTEMS (INDIA) LTD.,Comm.Trading  & Distribution
INCAP,INCAP LTD.,Other Elect.Equip./ Prod.
GUJINTRX,GUJARAT INTRUX LTD.-$,Other Industrial Products
IGARASHI,IGARASHI MOTORS INDIA LTD.,Auto Parts & Equipment
SYMPHONY,Symphony Limited,Consumer Electronics
PANELEC,PAN ELECTRONICS INDIA LTD.,Electronic Components
VXLINSTR,VXL INSTRUMENTS LTD.,Consumer Electronics
SHYAMTEL,SHYAM TELECOM LTD.,Telecom Equipment
LEENEE,LEE & NEE SOFTWARES (EXPORTS) LTD.,BPO/KPO
PATELSAI,PATELS AIRTEMP (INDIA) LTD.,Industrial Machinery
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd,Household Appliances
NARMP,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,Plastic Products
DUTRON,DUTRON POLYMERS LTD.-$,Plastic Products
RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,IT Software Products
MAGNAELQ,MAGNA ELECTRO CASTINGS LTD.-$,Other Industrial Products
ELNET,ELNET TECHNOLOGIES LTD.-$,IT Software Products
ACCEL,Accel Ltd,IT Consulting & Software
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD.,Other Elect.Equip./ Prod.
ROTO,ROTO PUMPS LTD.,Industrial Machinery
TTKPRESTIG,TTK PRESTIGE LTD.,Houseware
DHINDIA,D&H India Ltd-$,Other Industrial Goods
RAJGLOWIR,RAJRATAN GLOBAL WIRE LTD.,Auto Parts & Equipment
SURANAT&P,Surana Telecom And Power Limited,Telecom Cables
ONWARDTEC,ONWARD TECHNOLOGIES LTD.,IT Consulting & Software
CENTUM,CENTUM ELECTRONICS LTD.,Misc.Commercial Services
ALFATRAN,ALFA TRANSFORMERS LTD.,Other Elect.Equip./ Prod.
STARLITE,STARLITE COMPONENTS LTD.,Comm.Trading  & Distribution
NHCFOODS,NHC FOODS LTD.,Other Food Products
PVP,PVP VENTURES LTD.,Realty
TRIGYN,TRIGYN TECHNOLOGIES LTD.,IT Consulting & Software
KEI,KEI INDUSTRIES LTD.,Other Elect.Equip./ Prod.
INDLMETER,IMP POWERS LTD.,Heavy Electrical Equipment
KEERTHI,KEERTHI INDUSTRIES LTD.,Cement & Cement Products
GSCLCEMENT,GUJARAT SIDHEE CEMENT LTD.,Cement & Cement Products
SURAJ,SURAJ PRODUCTS LTD.,Iron & Steel/Interm.Products
APCL,ANJANI PORTLAND CEMENT LTD.-$,Cement & Cement Products
MODINATUR,Modi Naturals Limited,Other Agricultural Products
PRSNTIN,PRASHANT INDIA LTD.,Textiles
SHAHFOOD,SHAH FOODS LTD.,Packaged Foods
ZKHANDEN,KHANDELWAL EXTRACTION LTD.,Other Agricultural Products
TASTYBIT,TASTY BITE EATABLES LTD.,Packaged Foods
RITESHIN,RITESH INTERNATIONAL LTD.,Commodity Chemicals
AVTNPL,AVT NATURAL PRODUCTS LTD.,Other Agricultural Products
HNDFDS,HINDUSTAN FOODS LTD.,Packaged Foods
NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LTD.-$,Textiles
VADILENT,VADILAL ENTERPRISES LTD.,Comm.Trading  & Distribution
VADILALIND,VADILAL INDUSTRIES LTD.-$,Packaged Foods
ASHAI,ASHIANA AGRO INDUSTRIES LTD.,Edible Oils
ADFFOODS,ADF FOODS LTD.-$,Packaged Foods
RGRL,Retro Green Revolution Ltd,Tea & Coffee
AJANTSOY,AJANTA SOYA LTD.,Edible Oils
WILLAMAGOR,WILLIAMSON MAGOR & COMPANY LTD.,Finance (including NBFCs)
RICHIRICH,Richirich Inventures Limited,Comm.Trading  & Distribution
SIEL,Superior Industrial Enterprises Limited,Edible Oils
SRDAPRT,SARDA PROTEINS LTD.,Edible Oils
SANWARIA,Sanwaria Consumer Ltd-$,Packaged Foods
PRIMAGR,PRIMA AGRO LTD.,Other Agricultural Products
MADHURIND,MADHUR INDUSTRIES LTD.,Other Agricultural Products
TARAI,TARAI FOODS LTD.,Other Agricultural Products
MODAIRY,MODERN DAIRIES LTD.,Packaged Foods
BAMBINO,BAMBINO AGRO INDUSTRIES LTD.,Packaged Foods
PRIMIND,PRIME INDUSTRIES LTD.,Edible Oils
VIKASWSP,VIKAS WSP LTD.,Specialty Chemicals
JATALIA,Jatalia Global Ventures Ltd,Internet Software & Services
BANSTEA,BANSISONS TEA INDUSTRIES LTD.,Tea & Coffee
POONADAL,POONA DAL & OIL INDUSTRIES LTD.,Edible Oils
TRANSFD,TRANSGLOBE FOODS LTD.,Non-alcoholic Beverages
ANIKINDS,ANIK INDUSTRIES LTD.,Comm.Trading  & Distribution
SHINDL,SHARAT INDUSTRIES LTD.,Packaged Foods
DATIWARE,Datiware Maritime Infra Ltd,Shipping
KMGMILK,KMG MILK FOOD LTD.,Packaged Foods
KSE,KSE LTD.-$,Packaged Foods
PIONAGR,PIONEER AGRO EXTRACTS LTD.,Edible Oils
NARBADA,NARBADA GEMS AND JEWELLERY LTD.,Other Apparels & Accessories
VIRATCRA,VIRAT CRANE INDUSTRIES LTD.,Packaged Foods
IBINFO,IB INFOTECH ENTERPRISES LTD.,Other Agricultural Products
AMBARPIL,Ambar Protein Industries Ltd,Edible Oils
CHORDIA,CHORDIA FOOD PRODUCTS LTD.,Other Food Products
CIANAGRO,CIAN Agro Industries & Infrastructure Ltd,Edible Oils
TAIIND,TAI INDUSTRIES LTD.-$,Comm.Trading  & Distribution
NKIND,N.K.INDUSTRIES LTD.,Edible Oils
BKV,BKV INDUSTRIES LTD.,Packaged Foods
NCCBLUE,NCC BLUE WATER PRODUCTS LTD.,Packaged Foods
ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Comm.Trading  & Distribution
HERITGFOOD,Heritage Foods Limited,Packaged Foods
SIMRAN,SIMRAN FARMS LTD.,Packaged Foods
DFM,DFM FOODS LTD.,Packaged Foods
CCL,CCL PRODUCTS (INDIA) LTD.,Tea & Coffee
KELLTONTEC,Kellton Tech Solutions Ltd.,IT Software Products
SURFI,SURYO FOODS & INDUSTRIES LTD.,Packaged Foods
INTEGFD,INTEGRATED PROTEINS LTD.,Edible Oils
MAHAANF,MAHAAN FOODS LTD.,Packaged Foods
RICOAUTO,RICO AUTO INDUSTRIES LTD.,Auto Parts & Equipment
OMAXAUTO,OMAX AUTOS LTD.,Auto Parts & Equipment
MUNJALSHOW,MUNJAL SHOWA LTD.,Auto Parts & Equipment
JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,Auto Parts & Equipment
SUNCLAYLTD,SUNDARAM-CLAYTON LTD.,Auto Parts & Equipment
JTEKTINDIA,Jtekt India Ltd,Auto Parts & Equipment
MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,Auto Parts & Equipment
JAYBARMARU,JAY BHARAT MARUTI LTD.,Auto Parts & Equipment
RACLGEAR,RACL Geartech Ltd,Auto Parts & Equipment
SAMKRG,SAMKRG PISTONS & RINGS LTD.-$,Auto Parts & Equipment
ECSTSTL,EAST COAST STEEL LTD.,Iron & Steel/Interm.Products
SICAL,SICAL LOGISTICS LTD.,Transportation - Logistics
RATNAMANI,RATNAMANI METALS & TUBES LTD.-$,Iron & Steel Products
VESUVIUS,VESUVIUS INDIA LTD.,Other Industrial Goods
ASAL,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,Auto Parts & Equipment
ARCEEIN,ARCEE INDUSTRIES LTD.,Plastic Products
ABCINDQ,ABC INDIA LTD.-$,Surface Transportation
BALTE,BALURGHAT TECHNOLOGIES LTD.,Surface Transportation
COARO,COASTAL ROADWAYS LTD.,Surface Transportation
SIBARAUT,SIBAR AUTO PARTS LTD.,Auto Parts & Equipment
SHREYAS,SHREYAS SHIPPING & LOGISTICS LTD.,Shipping
STARLOG,Starlog Enterprises Ltd,Marine Port & Services
SHVSUIT,SHIVA SUITINGS LTD.,Comm.Trading  & Distribution
EUROTEXIND,EUROTEX INDUSTRIES & EXPORTS LTD.,Textiles
ICIL,INDO COUNT INDUSTRIES LTD.,Textiles
MARALOVER,MARAL OVERSEAS LTD.,Textiles
SOURCEIND,SOURCE INDUSTRIES (INDIA) LTD.,Textiles
ADVLIFE,ADVANCE LIFESTYLES LTD.,Textiles
OCTAVE,Perfect-Octave Media Projects Ltd,Broadcasting & Cable TV
TRIDENT,TRIDENT LTD.,Textiles
HISARSP,HISAR SPINNING MILLS LTD.,Textiles
ALOKTEXT,ALOK INDUSTRIES LTD.,Textiles
PASARI,PASARI SPINNING MILLS LTD.,Textiles
SPENTEX,SPENTEX INDUSTRIES LTD.,Textiles
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.,Textiles
OLYMPTX,OLYMPIA INDUSTRIES LTD.,Internet & Catalogue Retail
NAGREEKEXP,NAGREEKA EXPORTS LTD.-$,Textiles
SUDTIND-B,SUDITI INDUSTRIES LTD.,Textiles
SBFL,Shree Bhavya Fabrics Ltd,Textiles
GEMSPIN,GEM SPINNERS INDIA LTD.,Textiles
EUREKAI,EUREKA INDUSTRIES LTD.,Textiles
ADITYASP,ADITYA SPINNERS LTD.,Textiles
PRIMEURB,PRIME URBAN DEVELOPMENT INDIA LTD.,Realty
DHANFAB,DHANLAXMI FABRICS LTD.,Textiles
ZODIACLOTH,ZODIAC CLOTHING CO.LTD.,Other Apparels & Accessories
SRMCL,SRI RAMAKRISHNA MILLS (COIMBATORE) LTD.-$,Textiles
SUPERSPIN,SUPER SPINNING MILLS LTD.,Textiles
SEASONF,SEASONS FURNISHINGS LTD.,Comm.Trading  & Distribution
UNITEDTE,UNITED TEXTILES LTD.,Textiles
SILINV,SIL INVESTMENTS LTD.,Other Financial Services
SURYALAXMI,SURYALAKSHMI COTTON MILLS LTD.,Textiles
SAMTEX,SAMTEX FASHIONS LTD.-$,Other Apparels & Accessories
CITYMAN,CITYMAN LTD.,Other Apparels & Accessories
DHANROTO,DHANALAXMI ROTO SPINNERS LTD.,Textiles
DAMOINDUS,DAMODAR INDUSTRIES LTD.-$,Textiles
SANBLUE,SANBLUE CORPORATION LTD.,Other Apparels & Accessories
UNIROYAL,UNIROYAL INDUSTRIES LTD.,Textiles
TATIAGLOB,TATIA GLOBAL VENNTURE LTD.,Other Apparels & Accessories
SUNILTX,SUNIL INDUSTRIES LTD.,Comm.Trading  & Distribution
SRINACHA,SRI NACHAMMAI COTTON MILLS LTD.-$,Textiles
SAMBANDAM,SAMBANDAM SPINNING MILLS LTD.-$,Textiles
KANDAGIRI,KANDAGIRI SPINNING MILLS LTD.-$,Textiles
CHITRTX,CHITRADURGA SPINTEX LTD.,Textiles
KITEX,KITEX GARMENTS LTD.,Other Apparels & Accessories
CRANEX,CRANEX LTD.,Commercial Vehicles
BATLIBOI,BATLIBOI LTD.-$,Industrial Machinery
AUSTENG,AUSTIN ENGINEERING CO.LTD.,Industrial Machinery
UNIDT,UNITED DRILLING TOOLS LTD.,Other Industrial Goods
FLUIDOM,FLUIDOMAT LTD.,Other Elect.Equip./ Prod.
EMAINDIA,EMA INDIA LTD.,Industrial Machinery
WINDMACHIN,WINDSOR MACHINES LTD.,Industrial Machinery
SHANTIGEAR,SHANTHI GEARS LTD.,Industrial Machinery
MIVENMACH,MIVEN MACHINE TOOLS LTD.,Other Industrial Goods
HONDAPOWER,Honda India Power Products Ltd,Industrial Machinery
HITECHGEAR,The Hi-Tech Gears Ltd,Auto Parts & Equipment
ELGIEQUIP,ELGI EQUIPMENTS LTD.,Industrial Machinery
UVDRHOR,UNITED VAN DER HORST LTD.,Heavy Electrical Equipment
KLBRENG-B,KILBURN ENGINEERING LTD.,Industrial Machinery
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.,Industrial Machinery
YUKEN,YUKEN INDIA LTD.-$,Auto Parts & Equipment
TIMKEN,TIMKEN INDIA LTD.,Industrial Machinery
VOITHPAPR,VOITH PAPER FABRICS INDIA LTD.-$,Textiles
ARTSONEN,ARTSON ENGINEERING LTD.,Industrial Machinery
SOLIMAC,SOLITAIRE MACHINE TOOLS LTD.,Industrial Machinery
DIAPOWER,Diamond Power Infrastructure Limited-$,Other Elect.Equip./ Prod.
INDSILHYD,INDSIL HYDRO POWER AND MANGANESE LTD.-$,Iron & Steel/Interm.Products
TMTIND-B1,TMT (INDIA) LTD.,Industrial Machinery
ITL,ITL INDUSTRIES LTD.-$,Industrial Machinery
FRONTSP,FRONTIER SPRINGS LTD.,Auto Parts & Equipment
PRAJIND,PRAJ INDUSTRIES LTD.,Construction & Engineering
RASANDIK,RASANDIK ENGINEERING INDUSTRIES INDIA LTD.-$,Auto Parts & Equipment
YOGISUNG,YOGI SUNG-WON (INDIA) LTD.,Other Financial Services
HLEGLAS,HLE Glascoat Ltd,Industrial Machinery
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.,Commercial Vehicles
TANAA,TANEJA AEROSPACE & AVIATION LTD.-$,Aerospace
CONART,CONART ENGINEERS LTD.-$,Construction & Engineering
SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.,Industrial Machinery
MMFL,M.M.FORGINGS LTD.-$,Other Industrial Products
IYKOTHITE,IYKOT HITECH TOOLROOM LTD.,Other Industrial Goods
MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$,Other Apparels & Accessories
CENLUB,CENLUB INDUSTRIES LTD.,Industrial Machinery
RAJOOENG,RAJOO ENGINEERS LTD.-$,Industrial Machinery
JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$,Construction & Engineering
VJLAXMIE,VEEJAY LAKSHMI ENGINEERING WORKS LTD.-$,Industrial Machinery
AHMDSTE,AHMEDABAD STEELCRAFT LTD.,Iron & Steel/Interm.Products
GET&D,GE T&D India Ltd,Other Elect.Equip./ Prod.
RAMRAT,RAM RATNA WIRES LTD.-$,Other Elect.Equip./ Prod.
JAYNECOIND,JAYASWAL NECO INDUSTRIES LTD.,Iron & Steel/Interm.Products
KALPATPOWR,KALPATARU POWER TRANSMISSION LTD.,Heavy Electrical Equipment
NMSRESRC,NMS Resources Global Ltd,Comm.Trading  & Distribution
CHANDNI,Chandni Textiles Engineering Ind. Ltd,Textiles
TIGLOB,T & I GLOBAL LTD.,Industrial Machinery
CONTROLPR,CONTROL PRINT LTD.-$,Containers & Packaging
BEMHY,BEMCO HYDRAULICS LTD.,Other Industrial Goods
ANSALBU,ANSAL BUILDWELL LTD.-$,Realty
WEIZMANIND,WEIZMANN LTD.,Comm.Trading  & Distribution
BNRSEC,B.N.RATHI SECURITIES LTD.,Other Financial Services
RISHITECH,RISHI TECHTEX LTD.,Containers & Packaging
SINCLAIR,SINCLAIRS HOTELS LTD.-$,Hotels
SAFARIND,SAFARI INDUSTRIES (INDIA) LTD.,Other Apparels & Accessories
ZBINTXPP,BINAYAK TEX PROCESSORS LTD.,Textiles
JJFINCOR,J.J.FINANCE CORPORATION LTD.,Finance (including NBFCs)
COSMOFE,COSMO FERRITES LTD.-$,Electronic Components
FUTURSEC,FUTURISTIC SECURITIES LTD.,Finance (including NBFCs)
SANCTRN,SANCO TRANS LTD.,Transport Related Services
ADORMUL,ADOR MULTIPRODUCTS LTD.,Personal Products
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$,Hotels
MEDICAPQ,MEDI-CAPS LTD.-$,Pharmaceuticals
OTCO,OTCO INTERNATIONAL LTD.,Consulting Services
MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.,Other Industrial Goods
BAPACK,B&A Packaging India Limited,Paper & Paper Products
ABAN,ABAN OFFSHORE LTD.,Exploration & Production
KOKUYOCMLN,KOKUYO CAMLIN LTD.-$,Non-Durable Household Prod.
SRMENERGY,SRM ENERGY LTD.,Electric Utilities
BHARATSE,BHARAT SEATS LTD.-$,Auto Parts & Equipment
CONTPTR,CONTINENTAL PETROLEUMS LTD.,Oil Marketing & Distribution
NBFOOT,NB FOOTWEAR LTD.,Footwear
MACPLASQ,MACHINO PLASTICS LTD.-$,Plastic Products
PEARLPOLY,PEARL POLYMERS LTD.,Plastic Products
VENKYS,VENKY'S (INDIA) LTD.,Packaged Foods
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.,Hotels
GVFILM,GV FILMS LTD.,Movies & Entertainment
SUPERHOUSE,SUPERHOUSE LTD.,Footwear
RAMAVISION,RAMA VISION LTD.,Comm.Trading  & Distribution
TCPLPACK,TCPL PACKAGING LTD.-$,Containers & Packaging
PURITY,PURITY FLEX PACK LTD.,Paper & Paper Products
BALMLAWRIE,BALMER LAWRIE & CO.LTD.,Containers & Packaging
KOVAI,KOVAI MEDICAL CENTER & HOSPITAL LTD.,Healthcare Services
ELDEHSG,ELDECO HOUSING & INDUSTRIES LTD.,Realty
MICROSE,MICROSE INDIA LTD.,Finance (including NBFCs)
STDSHOE,STANDARD SHOE SOLE AND MOULD (INDIA) LTD.,Specialty Chemicals
DCMSHRIRAM,DCM Shriram Limited,Sugar
DCMSRMIND,DCM SHRIRAM INDUSTRIES LTD.-$,Sugar
MAWANASUG,MAWANA SUGARS LTD.,Sugar
MINID,MINI DIAMONDS (INDIA) LTD.,Other Apparels & Accessories
MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LTD.,Finance (including NBFCs)
NILKAMAL,NILKAMAL LTD.,Plastic Products
NAHARPOLY,NAHAR POLYFILMS LTD.,Containers & Packaging
3MINDIA,3M INDIA LTD.,Diversified
JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd,Consumer Electronics
JMFINANCIL,JM FINANCIAL LTD.-$,Holding Companies
ADCINDIA,ADC India Communications Limited-$,Telecom Equipment
TNTELE,TAMILNADU TELECOMMUNICATIONS LTD.,Telecom Cables
SUNRAJDI,SUNRAJ DIAMOND EXPORTS LTD.,Other Apparels & Accessories
RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.,Construction & Engineering
SHARP,SHARP INDIA LTD.,Consumer Electronics
LINDEINDIA,Linde India Limited,Industrial Gases
INDBNK,IND BANK HOUSING LTD.,Housing Finance 
LOTUSCHO,LOTUS CHOCOLATE CO.LTD.,Packaged Foods
PACIFICI,PACIFIC INDUSTRIES LTD.,Construction Materials
CMMHOSP,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.-$,Healthcare Services
UNIOFFICE,UNIVERSAL OFFICE AUTOMATION LTD.,Comm.Trading  & Distribution
APMIN,APM INDUSTRIES LTD.-$,Textiles
PRECWIRE,PRECISION WIRES INDIA LTD.,Other Elect.Equip./ Prod.
KRYPTONQ,KRYPTON INDUSTRIES LTD.,Diversified
MARBU,MARTIN BURN LTD.,Realty
FEL,Future Enterprises Ltd,Department Stores
INDTONER,INDIAN TONERS & DEVELOPERS LTD.-$,Specialty Chemicals
KUNSTOFF,KUNSTSTOFFE INDUSTRIES LTD.,Plastic Products
SCI,SHIPPING CORPORATION OF INDIA LTD.,Shipping
SIKA,SIKA INTERPLANT SYSTEMS LTD.,Defence
ITI,ITI LTD.,Telecom Equipment
DREDGECORP,DREDGING CORPORATION OF INDIA LTD.,Shipping
PHRMASI,PHAARMASIA LTD.,Pharmaceuticals
PODDAR,Poddar Housing and Development Ltd,Realty
NFL,NATIONAL FERTILIZERS LTD.,Fertilizers
IPRINGLTD,IP RINGS LTD.-$,Auto Parts & Equipment
PIIND,PI Industries Ltd,Agrochemicals
PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$,Specialty Chemicals
REDEXPR,REDEX PROTECH LTD.,Industrial Machinery
KKPLASTICK,Kkalpana Plastick Limited,Plastic Products
WATERBASE,WATERBASE LTD.,Other Food Products
FLEXFO,FLEX FOODS LTD.-$,Other Agricultural Products
GOLKUNDIA,GOLKUNDA DIAMONDS & JEWELLERY LTD.,Other Apparels & Accessories
APCOTEXIND,APCOTEX INDUSTRIES LTD.,Other Industrial Goods
FORTISMLR,Fortis Malar Hospitals Limited,Healthcare Services
MASTEK,MASTEK LTD.,IT Software Products
EIMCOELECO,EIMCO ELECON (INDIA) LTD.,Industrial Machinery
SAYAJIHOTL,SAYAJI HOTELS LTD.,Hotels
JMGCORP,JMG CORPORATION LTD.,Plastic Products
ASHIANA,ASHIANA HOUSING LTD.-$,Realty
SVAMSOF,SVAM SOFTWARE LTD.,IT Software Products
ECOBOAR,ECOBOARD INDUSTRIES LTD.,Forest Products
DVL,Dhunseri Ventures Ltd-$,Other Food Products
IOSYSTEM,IO SYSTEM LTD.,Industrial Machinery
MAHEPC,Mahindra EPC Irrigation Ltd,Plastic Products
SREINFRA,SREI INFRASTRUCTURE FINANCE LTD.,Finance (including NBFCs)
MITSHI,Mitshi India Ltd,Comm.Trading  & Distribution
SHUKJEW,SHUKRA JEWELLERS LTD.,Other Apparels & Accessories
MAZDALTD,MAZDA LTD.-$,Industrial Machinery
VICEROY,VICEROY HOTELS LTD.,Hotels
SOVERDIA,SOVEREIGN DIAMONDS LTD.,Other Apparels & Accessories
MENONBE,MENON BEARINGS LTD.-$,Auto Parts & Equipment
MUKATPIP,MUKAT PIPES LTD.-$,Iron & Steel Products
GUJRAFIA,GUJARAT RAFFIA INDUSTRIES LTD.,Containers & Packaging
SIMPLEXINF,SIMPLEX INFRASTRUCTURES LTD.,Construction & Engineering
INNOVTEC,INNOVATIVE TECH PACK LTD.,Containers & Packaging
SUPTANERY,Super Tannery Limited,Other Apparels & Accessories
AXTEL,AXTEL INDUSTRIES LTD.,Industrial Machinery
PIFL,Pacheli Industrial Finance Ltd,Finance (including NBFCs)
PRECISION,PRECISION CONTAINEURS LTD.,Comm.Trading  & Distribution
VRWODAR,V R WOODART LTD.,Auto Tyres & Rubber Products
APIL,Avi Products India Ltd,Comm.Trading  & Distribution
POONAWALLA,Poonawalla Fincorp Ltd,Finance (including NBFCs)
HINFLUR,HINDUSTAN FLUOROCARBONS LTD.,Fibres & Plastics
KINGFA,Kingfa Science & Technology (India) Ltd-$,Plastic Products
PATIDAR,Patidar Buildcon Limited,Realty
RAMAPHO,RAMA PHOSPHATES LTD.,Fertilizers
VENLONENT,VENLON ENTERPRISES LTD.,Commodity Chemicals
POLYPLEX,POLYPLEX CORPORATION LTD.,Containers & Packaging
ALBERTDA,ALBERT DAVID LTD.-$,Pharmaceuticals
HARLETH,HARYANA LEATHER CHEMICALS LTD.,Commodity Chemicals
ACRYSIL,ACRYSIL LTD.,Houseware
KABRAEXTRU,KABRA EXTRUSIONTECHNIK LTD.,Industrial Machinery
VINYLINDIA,VINYL CHEMICALS (INDIA) LTD.,Commodity Chemicals
PCCOSMA,PEE CEE COSMA SOPE LTD.,Household Products
TCMLMTD,TCM LTD.,Commodity Chemicals
IOLCP,IOL CHEMICALS & PHARMACEUTICALS LTD.,Pharmaceuticals
VINATIORGA,VINATI ORGANICS LTD.-$,Commodity Chemicals
LACTOSE,LACTOSE (INDIA) LTD.,Other Food Products
AARTIIND,AARTI INDUSTRIES LTD.,Specialty Chemicals
WANBURY,WANBURY LTD.,Pharmaceuticals
RESONANCE,RESONANCE SPECIALTIES LTD.-$,Pharmaceuticals
GAEL,GUJARAT AMBUJA EXPORTS LTD.,Other Agricultural Products
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,Fertilizers
KOPRAN,KOPRAN LTD.,Pharmaceuticals
AIMCOPEST,AIMCO PESTICIDES LTD.,Agrochemicals
GUJTERC,GUJARAT TERCE LABORATORIES LTD.,Pharmaceuticals
SEYAIND,SEYA INDUSTRIES LTD.,Specialty Chemicals
JAYAGROGN,JAYANT AGRO-ORGANICS LTD.,Specialty Chemicals
BCLIL,BCL Industries Ltd-$,Edible Oils
SHHARICH,SHREE HARI CHEMICALS EXPORT LTD.,Commodity Chemicals
INDOBORAX,INDO BORAX & CHEMICALS LTD.-$,Commodity Chemicals
AARTIDRUGS,AARTI DRUGS LTD.,Pharmaceuticals
BODALCHEM,BODAL CHEMICALS LTD.,Specialty Chemicals
ORCHIDPHAR,Orchid Pharma Ltd,Pharmaceuticals
VIMTALABS,VIMTA LABS LTD.-$,Healthcare Services
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,Pharmaceuticals
ISHITADR,ISHITA DRUGS & INDUSTRIES LTD.,Pharmaceuticals
MARKSANS,MARKSANS PHARMA LTD.,Pharmaceuticals
UNIVSTAR,UNIVERSAL STARCH-CHEM ALLIED LTD.,Commodity Chemicals
AREYDRG,AAREY DRUGS & PHARMACEUTICALS LTD.,Pharmaceuticals
NORRIS,NORRIS MEDICINES LTD.,Comm.Trading  & Distribution
ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.,Commodity Chemicals
CAMEXLTD,CAMEX LTD.,Commodity Chemicals
EVEXIA,Evexia Lifecare Ltd,Edible Oils
